,Vehicle,Fuel,Year,NewSales,VehCat,ISO,NewVehCtrl,Scenario
0,Bus,Diesel,1985,2618.51564,HDV,CHN,China 0,Baseline
1,Bus,Diesel,1986,20063.988973,HDV,CHN,China 0,Baseline
2,Bus,Diesel,1987,29194.13342,HDV,CHN,China 0,Baseline
3,Bus,Diesel,1988,24613.156271,HDV,CHN,China 0,Baseline
4,Bus,Diesel,1989,41558.34766,HDV,CHN,China 0,Baseline
5,Bus,Diesel,1990,39870.46667,HDV,CHN,China 0,Baseline
6,Bus,Diesel,1991,48851.40388,HDV,CHN,China 0,Baseline
7,Bus,Diesel,1992,84850.6357,HDV,CHN,China 0,Baseline
8,Bus,Diesel,1993,64393.383420000006,HDV,CHN,China 0,Baseline
9,Bus,Diesel,1994,53260.21295,HDV,CHN,China 0,Baseline
10,Bus,Diesel,1995,28283.88252,HDV,CHN,China 0,Baseline
11,Bus,Diesel,1996,48771.89207,HDV,CHN,China 0,Baseline
12,Bus,Diesel,1997,60797.584039999994,HDV,CHN,China 0,Baseline
13,Bus,Diesel,1998,66383.35281000001,HDV,CHN,China 0,Baseline
14,Bus,Diesel,1999,66707.40128,HDV,CHN,China 0,Baseline
15,Bus,Diesel,2000,93177.48211,HDV,CHN,China 0,Baseline
16,Bus,Diesel,2001,126690.08334,HDV,CHN,China 1,Baseline
17,Bus,Diesel,2002,78493.03699,HDV,CHN,China 1,Baseline
18,Bus,Diesel,2003,69571.59614,HDV,CHN,China 1,Baseline
19,Bus,Diesel,2004,72162.54035,HDV,CHN,China 2,Baseline
20,Bus,Diesel,2005,89314.77017,HDV,CHN,China 2,Baseline
21,Bus,Diesel,2006,103657.502,HDV,CHN,China 2,Baseline
22,Bus,Diesel,2007,133757.28738,HDV,CHN,China 2,Baseline
23,Bus,Diesel,2008,151343.68506000002,HDV,CHN,China 3,Baseline
24,Bus,Diesel,2009,135140.7379,HDV,CHN,China 3,Baseline
25,Bus,Diesel,2010,244382.03999999998,HDV,CHN,China 3,Baseline
26,Bus,Diesel,2011,197362.26328999997,HDV,CHN,China 3,Baseline
27,Bus,Diesel,2012,259503.34859999997,HDV,CHN,China 3,Baseline
28,Bus,Diesel,2013,161547.94939999998,HDV,CHN,China 4,Baseline
29,Bus,Diesel,2014,320937.53170000005,HDV,CHN,China 4,Baseline
30,Bus,Diesel,2015,418987.5812,HDV,CHN,China 4,Baseline
31,Bus,Diesel,2016,373578.9789,HDV,CHN,China 4,Baseline
32,Bus,Diesel,2017,359072.3207,HDV,CHN,China 5,Baseline
33,Bus,Gasoline,1985,10474.06256,HDV,CHN,China 0,Baseline
34,Bus,Gasoline,1986,34376.828265000004,HDV,CHN,China 0,Baseline
35,Bus,Gasoline,1987,54733.089535,HDV,CHN,China 0,Baseline
36,Bus,Gasoline,1988,61487.188265,HDV,CHN,China 0,Baseline
37,Bus,Gasoline,1989,81804.122056,HDV,CHN,China 0,Baseline
38,Bus,Gasoline,1990,76953.914598,HDV,CHN,China 0,Baseline
39,Bus,Gasoline,1991,93293.021883,HDV,CHN,China 0,Baseline
40,Bus,Gasoline,1992,160192.43497,HDV,CHN,China 0,Baseline
41,Bus,Gasoline,1993,119767.21672,HDV,CHN,China 0,Baseline
42,Bus,Gasoline,1994,97185.84233999999,HDV,CHN,China 0,Baseline
43,Bus,Gasoline,1995,50607.552047,HDV,CHN,China 0,Baseline
44,Bus,Gasoline,1996,85157.58798,HDV,CHN,China 0,Baseline
45,Bus,Gasoline,1997,112844.779041,HDV,CHN,China 0,Baseline
46,Bus,Gasoline,1998,129519.023299,HDV,CHN,China 0,Baseline
47,Bus,Gasoline,1999,129708.15350999999,HDV,CHN,China 0,Baseline
48,Bus,Gasoline,2000,149138.683623,HDV,CHN,China 0,Baseline
49,Bus,Gasoline,2001,162239.942944,HDV,CHN,China 0,Baseline
50,Bus,Gasoline,2002,66881.760579,HDV,CHN,China 0,Baseline
51,Bus,Gasoline,2003,64043.419654000005,HDV,CHN,China 0,Baseline
52,Bus,Gasoline,2004,60606.35705499999,HDV,CHN,China 0,Baseline
53,Bus,Gasoline,2005,88193.563669,HDV,CHN,China 0,Baseline
54,Bus,Gasoline,2006,84533.160846,HDV,CHN,China 0,Baseline
55,Bus,Gasoline,2007,111659.741569,HDV,CHN,China 0,Baseline
56,Bus,Gasoline,2008,97407.409554,HDV,CHN,China 0,Baseline
57,Bus,Gasoline,2009,106364.42633999999,HDV,CHN,China 0,Baseline
58,Bus,Gasoline,2010,165173.11112,HDV,CHN,China 0,Baseline
59,Bus,Gasoline,2011,141548.21141,HDV,CHN,China 0,Baseline
60,Bus,Gasoline,2012,170035.88162,HDV,CHN,China 0,Baseline
61,Bus,Gasoline,2013,176170.846356,HDV,CHN,China 0,Baseline
62,Bus,Gasoline,2014,203986.60583000001,HDV,CHN,China 0,Baseline
63,Bus,Gasoline,2015,202615.22350000002,HDV,CHN,China 0,Baseline
64,Bus,Gasoline,2016,183450.45706,HDV,CHN,China 0,Baseline
65,Bus,Gasoline,2017,173810.97775999998,HDV,CHN,China 0,Baseline
66,HDT,Diesel,1985,109629.4047,HDV,CHN,China 0,Baseline
