,Vehicle,Fuel,Year,NewSales,VehCat,ISO,NewVehCtrl,Scenario
296,PC,Diesel,1985,0,LDV,CHN,China 0,Baseline
297,PC,Diesel,1986,1000,LDV,CHN,China 0,Baseline
298,PC,Diesel,1987,0,LDV,CHN,China 0,Baseline
299,PC,Diesel,1988,0,LDV,CHN,China 0,Baseline
300,PC,Diesel,1989,1000,LDV,CHN,China 0,Baseline
301,PC,Diesel,1990,1000,LDV,CHN,China 0,Baseline
302,PC,Diesel,1991,1000,LDV,CHN,China 0,Baseline
303,PC,Diesel,1992,1000,LDV,CHN,China 0,Baseline
304,PC,Diesel,1993,2000,LDV,CHN,China 0,Baseline
305,PC,Diesel,1994,2000,LDV,CHN,China 0,Baseline
306,PC,Diesel,1995,2000,LDV,CHN,China 0,Baseline
307,PC,Diesel,1996,3000,LDV,CHN,China 0,Baseline
308,PC,Diesel,1997,3000,LDV,CHN,China 0,Baseline
309,PC,Diesel,1998,3000,LDV,CHN,China 0,Baseline
310,PC,Diesel,1999,3000,LDV,CHN,China 0,Baseline
