,Vehicle,Fuel,Year,NewSales,VehCat,ISO,NewVehCtrl,Scenario
296,PC,Diesel,1985,0,LDV,CHN,China 0,Baseline
297,PC,Diesel,1986,1000,LDV,CHN,China 0,Baseline
298,PC,Diesel,1987,0,LDV,CHN,China 0,Baseline
299,PC,Diesel,1988,0,LDV,CHN,China 0,Baseline
300,PC,Diesel,1989,1000,LDV,CHN,China 0,Baseline
301,PC,Diesel,1990,1000,LDV,CHN,China 0,Baseline
302,PC,Diesel,1991,1000,LDV,CHN,China 0,Baseline
303,PC,Diesel,1992,1000,LDV,CHN,China 0,Baseline
304,PC,Diesel,1993,2000,LDV,CHN,China 0,Baseline
305,PC,Diesel,1994,2000,LDV,CHN,China 0,Baseline
306,PC,Diesel,1995,2000,LDV,CHN,China 0,Baseline
307,PC,Diesel,1996,3000,LDV,CHN,China 0,Baseline
308,PC,Diesel,1997,3000,LDV,CHN,China 0,Baseline
309,PC,Diesel,1998,3000,LDV,CHN,China 0,Baseline
310,PC,Diesel,1999,3000,LDV,CHN,China 0,Baseline
323,PC,Gasoline,1985,16000,LDV,CHN,China 0,Baseline
324,PC,Gasoline,1986,185000,LDV,CHN,China 0,Baseline
325,PC,Gasoline,1987,86000,LDV,CHN,China 0,Baseline
326,PC,Gasoline,1988,92000,LDV,CHN,China 0,Baseline
327,PC,Gasoline,1989,88000,LDV,CHN,China 0,Baseline
328,PC,Gasoline,1990,117000,LDV,CHN,China 0,Baseline
329,PC,Gasoline,1991,191000,LDV,CHN,China 0,Baseline
330,PC,Gasoline,1992,275000,LDV,CHN,China 0,Baseline
331,PC,Gasoline,1993,374000,LDV,CHN,China 0,Baseline
332,PC,Gasoline,1994,430000,LDV,CHN,China 0,Baseline
333,PC,Gasoline,1995,496000,LDV,CHN,China 0,Baseline
334,PC,Gasoline,1996,606000,LDV,CHN,China 0,Baseline
335,PC,Gasoline,1997,666000,LDV,CHN,China 0,Baseline
336,PC,Gasoline,1998,678000,LDV,CHN,China 0,Baseline
337,PC,Gasoline,1999,669000,LDV,CHN,China 0,Baseline
